Guinea-Bissau,14,15,18,22,15,18,15,,,,,,,,,,,,,,
Equatorial Guinea,16,77,57,21,49,60,29,,,,,,,,,,,,,,
Greece,3414,4144,4321,4187,4081,5542,5708,6557,,,,,,,,,,,,,
Grenada,,47,,,,,88,37,,,,,,,,,,,,,
Guatemala,1055,1158,1240,1232,1242,1306,1462,1493,,,,,,,,,,,,,
Guyana,43,45,52,66,71,137,138,,,,,,,,,,,,,,
"Hong Kong SAR, China",36811,39605,42528,40877,39554,43025,45297,,,,,,,,,,,,,,
Honduras,411,516,481,494,462,404,371,400,,,,,,,,,,,,,
Croatia,2041,2298,2714,3003,2864,3591,3971,4704,,,,,,,,,,,,,
Haiti,49,52,55,49,23,20,16,,,,,,,,,,,,,,
Hungary,9766,10963,11934,11701,11035,12426,13045,14521,,,,,,,,,,,,,
Indonesia,7379,7726,10374,9799,8213,9316,10853,14319,,,,,,,,,,,,,
India,119260,125560,138267,155256,164531,197448,251876,288653,,,,,,,,,,,,,
Ireland,117934,146099,179457,208429,251112,302758,313872,340069,,,,,,,,,,,,,
"Iran, Islamic Rep.",862,908,875,867,818,1086,,,,,,,,,,,,,,,
Iraq,807,720,992,736,662,812,806,,,,,,,,,,,,,,
Iceland,976,1039,1084,1008,1053,1132,1344,1366,,,,,,,,,,,,,
Israel,28559,32904,37655,42148,45103,57250,59797,60685,,,,,,,,,,,,,
Italy,41561,46729,49894,48503,47066,56124,56131,68560,,,,,,,,,,,,,
Jamaica,242,240,240,243,245,259,257,269,,,,,,,,,,,,,
Jordan,326,275,313,266,244,378,294,271,,,,,,,,,,,,,
Japan,95188,99559,104858,116991,114854,121260,113528,120276,,,,,,,,,,,,,
Kazakhstan,551,524,576,737,773,861,1330,2406,,,,,,,,,,,,,
Kenya,957,1207,1554,1401,1218,1744,2052,,,,,,,,,,,,,,
Kyrgyz Republic,126,122,89,,79,73,181,,,,,,,,,,,,,,
Cambodia,99,93,103,158,173,152,222,318,,,,,,,,,,,,,
Kiribati,2,,0,3,,0,0,,,,,,,,,,,,,,
St. Kitts and Nevis,34,36,42,28,,,25,24,,,,,,,,,,,,,
"Korea, Rep.",34164,36484,38827,41905,43479,55905,57181,63036,,,,,,,,,,,,,
Kuwait,3143,3099,5860,5605,5427,5997,6381,6857,,,,,,,,,,,,,
Lao PDR,32,39,31,62,46,52,34,,,,,,,,,,,,,,
Lebanon,6760,5978,6156,,2739,2626,2697,2247,,,,,,,,,,,,,
Liberia,24,10,9,9,71,87,99,,,,,,,,,,,,,,
Libya,53,66,82,103,108,82,,,,,,,,,,,,,,,
St. Lucia,25,27,25,25,21,22,25,26,,,,,,,,,,,,,
Sri Lanka,1290,1372,1422,1453,1153,1339,1228,1414,,,,,,,,,,,,,
Lesotho,4,3,1,1,1,4,1,1,,,,,,,,,,,,,
Lithuania,1116,1537,1871,2338,2824,4950,5285,7302,,,,,,,,,,,,,
Luxembourg,82125,88538,96420,103944,105209,129714,118191,121788,,,,,,,,,,,,,
Latvia,1716,1868,2227,2301,2473,3008,3550,3471,,,,,,,,,,,,,
"Macao SAR, China",1686,2000,1962,2339,1949,2599,3331,,,,,,,,,,,,,,
Morocco,3136,3312,3856,4104,4675,5127,5725,6898,,,,,,,,,,,,,
Moldova,260,290,354,401,430,597,703,893,,,,,,,,,,,,,
Madagascar,162,187,219,221,273,373,400,,,,,,,,,,,,,,
Maldives,93,63,58,59,31,34,37,44,,,,,,,,,,,,,
Mexico,8140,10151,9670,9891,9423,11159,12892,,,,,,,,,,,,,,
North Macedonia,440,471,569,628,662,883,1099,1325,,,,,,,,,,,,,
Mali,210,215,229,241,222,215,203,,,,,,,,,,,,,,
Malta,9564,10655,10895,,,,,,,,,,,,,,,,,,
Myanmar,570,694,728,1210,1096,368,,,,,,,,,,,,,,,
Montenegro,157,180,220,220,247,368,433,512,,,,,,,,,,,,,
Mongolia,103,124,147,158,115,103,168,211,,,,,,,,,,,,,
Mozambique,52,40,39,58,56,51,42,33,,,,,,,,,,,,,
Mauritania,36,42,41,29,31,46,48,,,,,,,,,,,,,,
Montserrat,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
Mauritius,913,955,991,917,767,849,920,983,,,,,,,,,,,,,
Malawi,64,123,116,56,163,169,169,,,,,,,,,,,,,,
Malaysia,9194,10055,11334,12131,12117,12395,13914,15544,,,,,,,,,,,,,
Namibia,56,74,59,51,203,235,270,,,,,,,,,,,,,,
New Caledonia,34,37,41,41,31,27,48,,,,,,,,,,,,,,
Niger,93,103,98,98,65,79,123,,,,,,,,,,,,,,
Nigeria,496,689,1044,1058,1155,1007,1240,1363,,,,,,,,,,,,,
Nicaragua,193,187,219,210,204,245,309,301,,,,,,,,,,,,,
Niue,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Netherlands,120301,142943,166705,184069,150599,165164,177593,200985,,,,,,,,,,,,,
Norway,16611,14987,16650,16033,16520,19104,19406,21197,,,,,,,,,,,,,
Nepal,489,550,580,540,428,409,513,621,,,,,,,,,,,,,
Nauru,6,6,6,6,3,,,,,,,,,,,,,,,,
New Zealand,3662,3712,3263,3987,3758,5061,4246,4525,,,,,,,,,,,,,
Oman,301,314,412,447,462,531,608,,,,,,,,,,,,,,
Pakistan,1788,2096,2310,2463,2802,3722,4173,4053,,,,,,,,,,,,,
Panama,2210,2213,2095,2072,1634,1581,2112,2723,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,
Philippines,15001,15247,16289,16917,16682,18183,19817,21391,,,,,,,,,,,,,
Palau,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Papua New Guinea,13,43,63,96,28,30,35,23,,,,,,,,,,,,,
Poland,17815,21192,26098,27694,30199,36590,40418,48431,,,,,,,,,,,,,
Portugal,6830,7291,8096,8386,8745,11362,12269,14504,,,,,,,,,,,,,
Paraguay,28,32,30,29,33,34,37,33,,,,,,,,,,,,,
West Bank and Gaza,74,106,142,40,45,50,62,,,,,,,,,,,,,,
French Polynesia,32,33,33,24,32,29,33,,,,,,,,,,,,,,
Qatar,1389,1212,1882,2062,3360,2036,3140,3415,,,,,,,,,,,,,
Romania,8443,9777,11945,13197,13914,16487,18640,21133,,,,,,,,,,,,,
Russian Federation,18551,20129,21297,21578,20715,24533,18683,10973,,,,,,,,,,,,,
Rwanda,31,37,36,36,35,48,45,60,,,,,,,,,,,,,
Saudi Arabia,1093,993,1560,2383,2345,3269,3285,3877,,,,,,,,,,,,,
Sudan,55,64,3,12,29,27,7,,,,,,,,,,,,,,
Senegal,446,466,427,382,333,418,,,,,,,,,,,,,,,
Singapore,80285,94489,114403,123383,133222,161138,176576,186790,,,,,,,,,,,,,
Solomon Islands,11,7,6,9,8,6,11,9,,,,,,,,,,,,,
Sierra Leone,8,12,10,5,7,36,12,,,,,,,,,,,,,,
El Salvador,394,435,407,463,509,705,809,845,,,,,,,,,,,,,
Serbia,2162,2671,3384,4047,4177,5284,6626,8505,,,,,,,,,,,,,
South Sudan,122,74,53,115,147,,624,,,,,,,,,,,,,,
Sub-Saharan Africa,16169,18293,21341,22111,20091,22897,24225,26363,,,,,,,,,,,,,
Sao Tome and Principe,2,1,0,1,3,4,4,,,,,,,,,,,,,,
Suriname,74,29,28,24,23,28,37,49,,,,,,,,,,,,,
